operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
GQA,1,"[[2, 128, 32, 128], [2, 128, 8, 128], [2, 128, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,1.64,S-float16-B2S128Nq32Nkv8D128-G4-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,2,"[[2, 128, 48, 128], [2, 128, 4, 128], [2, 128, 4, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",,2.27,S-float16-B2S128Nq48Nkv4D128-G12-prefill | baseline_kernels: FusedInferAttentionScore×1
GQA,3,"[[2, 128, 128, 128], [2, 128, 8, 128], [2, 128, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,4.92,S-float16-B2S128Nq128Nkv8D128-G16-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,4,"[[4, 256, 64, 128], [4, 256, 8, 128], [4, 256, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",103.72,24.27,M-bfloat16-B4S256Nq64Nkv8D128-G8-prefill | baseline_kernels: FusedInferAttentionScore×1
GQA,5,"[[2, 128, 32, 256], [2, 128, 8, 256], [2, 128, 8, 256]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,3.28,S-float16-B2S128Nq32Nkv8D256-G4-D256-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,6,"[[2, 256, 128, 256], [2, 256, 8, 256], [2, 256, 8, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,24.36,M-bfloat16-B2S256Nq128Nkv8D256-G16-D256-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,7,"[[2, 128, 32, 128], [2, 256, 8, 128], [2, 256, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",,3.03,S-bfloat16-B2Sq128Skv256Nq32Nkv8D128-G4-cross | baseline_kernels: FusedInferAttentionScore×1
GQA,8,"[[4, 1024, 32, 128], [4, 1024, 8, 128], [4, 1024, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",389.69,97.16,L-float16-B4S1024Nq32Nkv8D128-G4-long-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,9,"[[4, 512, 64, 128], [4, 512, 8, 128], [4, 512, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",257.79,97.06,L-bfloat16-B4S512Nq64Nkv8D128-G8-long-prefill | baseline_kernels: FusedInferAttentionScore×1
GQA,10,"[[4, 512, 128, 128], [4, 512, 8, 128], [4, 512, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",,97.25,L-bfloat16-B4S512Nq128Nkv8D128-G16-long-prefill-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,11,"[[16, 1, 32, 128], [16, 2048, 8, 128], [16, 2048, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",146.06,69.97,L-float16-B16S1Skv2048Nq32Nkv8D128-G4-decode | baseline_kernels: FusedInferAttentionScore×1
GQA,12,"[[16, 1, 96, 128], [16, 2048, 8, 128], [16, 2048, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",145.54,70.11,L-bfloat16-B16S1Skv2048Nq96Nkv8D128-G12-decode | baseline_kernels: FusedInferAttentionScore×1
GQA,13,"[[60, 1, 32, 128], [60, 2048, 8, 128], [60, 2048, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",488.29,262.4,L-float16-B60S1Skv2048Nq32Nkv8D128-G4-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
GQA,14,"[[128, 1, 128, 128], [128, 512, 8, 128], [128, 512, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",290.79,141.99,L-float16-B128S1Skv4096Nq128Nkv8D128-G16-decode-large-batch | baseline_kernels: FusedInferAttentionScore×1
GQA,15,"[[60, 1, 32, 256], [60, 1024, 8, 256], [60, 1024, 8, 256]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",433.87,262.66,L-float16-B60S1Skv2048Nq32Nkv8D256-G4-decode-large-batch-D256 | baseline_kernels: FusedInferAttentionScore×1
GQA,16,"[[60, 2, 32, 128], [60, 2048, 8, 128], [60, 2048, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",443.29,262.66,L-float16-B60Sq2Skv2048Nq32Nkv8D128-G4-MTP-large-batch-causal | baseline_kernels: FusedInferAttentionScore×1
GQA,17,"[[128, 4, 128, 128], [128, 512, 8, 128], [128, 512, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": true}","[-1, 1]",413.25,148.55,L-float16-B128Sq4Skv4096Nq128Nkv8D128-G16-MTP-large-batch-causal | baseline_kernels: FusedInferAttentionScore×1
