operator,case_id,input_shape,dtype,attrs,value_range,note
MultiQueryAttentionDecode,1,"[[2, 2, 4, 64], [2, 32, 64], [2, 32, 64]]","[""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case1-B2-Sq2-Skv32-Hq4-D64-float16-causalTrue
MultiQueryAttentionDecode,2,"[[4, 4, 8, 80], [4, 64, 80], [4, 64, 80]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case2-B4-Sq4-Skv64-Hq8-D80-bfloat16-causalTrue
MultiQueryAttentionDecode,3,"[[1, 8, 16, 96], [1, 96, 96], [1, 96, 96]]","[""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case3-B1-Sq8-Skv96-Hq16-D96-float32-causalTrue
MultiQueryAttentionDecode,4,"[[2, 16, 1, 128], [2, 128, 128], [2, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case4-B2-Sq16-Skv128-Hq1-D128-float16-causalTrue
MultiQueryAttentionDecode,5,"[[1, 1, 4, 32], [1, 192, 32], [1, 192, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case5-B1-Sq1-Skv192-Hq4-D32-bfloat16-causalTrue
MultiQueryAttentionDecode,6,"[[2, 2, 8, 64], [2, 256, 64], [2, 256, 64]]","[""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case6-B2-Sq2-Skv256-Hq8-D64-float32-causalTrue
MultiQueryAttentionDecode,7,"[[4, 4, 16, 80], [4, 384, 80], [4, 384, 80]]","[""float16"", ""float16"", ""float16""]","{""causal"": false}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case7-B4-Sq4-Skv384-Hq16-D80-float16-causalFalse
MultiQueryAttentionDecode,8,"[[1, 8, 1, 96], [1, 16, 96], [1, 16, 96]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case8-B1-Sq8-Skv16-Hq1-D96-bfloat16-causalTrue
MultiQueryAttentionDecode,9,"[[2, 16, 4, 128], [2, 32, 128], [2, 32, 128]]","[""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case9-B2-Sq16-Skv32-Hq4-D128-float32-causalTrue
MultiQueryAttentionDecode,10,"[[1, 1, 8, 32], [1, 64, 32], [1, 64, 32]]","[""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case10-B1-Sq1-Skv64-Hq8-D32-float16-causalTrue
MultiQueryAttentionDecode,11,"[[2, 2, 16, 64], [2, 96, 64], [2, 96, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case11-B2-Sq2-Skv96-Hq16-D64-bfloat16-causalTrue
MultiQueryAttentionDecode,12,"[[4, 4, 1, 80], [4, 128, 80], [4, 128, 80]]","[""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case12-B4-Sq4-Skv128-Hq1-D80-float32-causalTrue
MultiQueryAttentionDecode,13,"[[1, 8, 4, 96], [1, 192, 96], [1, 192, 96]]","[""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case13-B1-Sq8-Skv192-Hq4-D96-float16-causalTrue
