operator,case_id,input_shape,dtype,attrs,value_range,note
AiInfraAggregateHidden,1,"[[1, 1, 384], [3, 384]]","[""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3]]",S-bfloat16-aggregate_hidden_bf16_boundary_shapeMin_FUZZ_000000
AiInfraAggregateHidden,2,"[[1, 1, 384], [3, 384], [1, 1]]","[""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",S-bfloat16-aggregate_hidden_bf16_boundary_shapeMin_FUZZ_000001
AiInfraAggregateHidden,3,"[[20, 1, 576], [3, 576]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",S-bfloat16-aggregate_hidden_bf16_boundary_BMIN_FUZZ_000000
AiInfraAggregateHidden,4,"[[20, 1, 576], [3, 576], [1, 20]]","[""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",S-bfloat16-aggregate_hidden_bf16_boundary_BMIN_FUZZ_000001
AiInfraAggregateHidden,5,"[[4096, 4, 768], [3, 768]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",M-bfloat16-aggregate_hidden_bf16_4096_4_768_noMask_pangu_L0_000000
AiInfraAggregateHidden,6,"[[4096, 4, 768], [3, 768], [4, 4096]]","[""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",M-bfloat16-aggregate_hidden_bf16_4096_4_768_hasMask_pangu_fuzz_l0_000000
AiInfraAggregateHidden,7,"[[1, 1, 384], [3, 384]]","['float16', 'float16']",{},"[[-3, 3], [-3, 3]]",S-float16-aggregate_hidden_fp16_boundary_shapeMin_FUZZ_000000
AiInfraAggregateHidden,8,"[[1, 1, 384], [3, 384], [1, 1]]","[""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",S-float16-aggregate_hidden_fp16_boundary_shapeMin_FUZZ_000001
AiInfraAggregateHidden,9,"[[20, 1, 576], [3, 576]]","['float16', 'float16']",{},"[[-3, 3], [-3, 3]]",S-float16-aggregate_hidden_fp16_boundary_BMIN_FUZZ_000000
AiInfraAggregateHidden,10,"[[20, 1, 576], [3, 576], [1, 20]]","[""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",S-float16-aggregate_hidden_fp16_boundary_BMIN_FUZZ_000001
AiInfraAggregateHidden,11,"[[4096, 4, 768], [3, 768]]","['float16', 'float16']",{},"[[-3, 3], [-3, 3]]",M-float16-aggregate_hidden_fp16_4096_4_768_noMask_pangu_fuzz_l0_000000
AiInfraAggregateHidden,12,"[[4096, 4, 768], [3, 768], [4, 4096]]","[""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",M-float16-aggregate_hidden_fp16_4096_4_768_hasMask_pangu_fuzz_l0_000000
AiInfraAggregateHidden,13,"[[16384, 8, 1200], [3, 1200]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",L-bfloat16-aggregate_hidden_bf16_boundary_shapeMax_FUZZ_000000
AiInfraAggregateHidden,14,"[[1, 3, 576], [3, 576]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",S-bfloat16-aggregate_hidden_bf16_boundary_SMIN_FUZZ_000000
AiInfraAggregateHidden,15,"[[1024, 2, 24576], [3, 24576]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",L-bfloat16-aggregate_hidden_bf16_boundary_HMax_FUZZ_000000
AiInfraAggregateHidden,16,"[[32768, 2, 576], [3, 576], [2, 32768]]","[""float16"", ""float16"", ""bool""]",{},"[[-3, 3], [-3, 3], [0, 1]]",M-float16-aggregate_hidden_fp16_boundary_SMax_FUZZ_000001
AiInfraAggregateHidden,17,"[[1024, 2, 24576], [3, 24576]]","['float16', 'float16']",{},"[[-3, 3], [-3, 3]]",L-float16-aggregate_hidden_fp16_boundary_HMax_FUZZ_000000
AiInfraAggregateHidden,18,"[[10, 2, 384], [3, 384]]","['bfloat16', 'bfloat16']",{},"[[-3, 3], [-3, 3]]",S-bfloat16-aggregate_hidden_bf16_boundary_HMIN_FUZZ_000000
AiInfraAggregateHidden,19,"[[10, 2, 384], [3, 384]]","['float16', 'float16']",{},"[[-3, 3], [-3, 3]]",S-float16-aggregate_hidden_fp16_boundary_HMIN_FUZZ_000000
AiInfraAggregateHidden,20,"[[466, 8, 1796], [3, 1796], [8, 466]]","[""bfloat16"", ""bfloat16"", ""bool""]",{},"[[-10, 10], [-10, 10], [0, 1]]",M-bfloat16-aggregate_hidden_FUZZ_000003
