operator,case_id,input_shape,dtype,attrs,value_range,note
CausalSoftmaxMask,1,"[[4, 16, 16, 48], null]","[""float16"", null]","{""scale"": 0.5, ""causal"": true}","[[-3, 3], null]",case1-B4-H16-Sq16-Skv48-float16-no-mask-causalTrue
CausalSoftmaxMask,2,"[[3, 12, 17, 31], null]","[""bfloat16"", null]","{""scale"": 0.25, ""causal"": true}","[[-3, 3], null]",case2-B3-H12-Sq17-Skv31-bfloat16-no-mask-causalTrue
CausalSoftmaxMask,3,"[[2, 8, 8, 32], null]","[""float32"", null]","{""scale"": 0.125, ""causal"": true}","[[-3, 3], null]",case3-B2-H8-Sq8-Skv32-float32-no-mask-causalTrue
CausalSoftmaxMask,4,"[[1, 4, 2, 64], null]","[""float16"", null]","{""scale"": 0.0883883476, ""causal"": false}","[[-3, 3], null]",case4-B1-H4-Sq2-Skv64-float16-no-mask-causalFalse
CausalSoftmaxMask,5,"[[4, 2, 64, 96], [4, 1, 1, 96]]","[""bfloat16"", ""float32""]","{""scale"": 0.0625, ""causal"": true}","[[-3, 3], [-4, 0]]",case5-B4-H2-Sq64-Skv96-bfloat16-pad-additive-causalTrue
CausalSoftmaxMask,6,"[[3, 1, 32, 128], null]","[""float32"", null]","{""scale"": 1.0, ""causal"": true}","[[-3, 3], null]",case6-B3-H1-Sq32-Skv128-float32-no-mask-causalTrue
CausalSoftmaxMask,7,"[[2, 16, 16, 192], [1, 1, 16, 192]]","[""float16"", ""float32""]","{""scale"": 0.5, ""causal"": true}","[[-3, 3], [-2, 0]]",case7-B2-H16-Sq16-Skv192-float16-full-additive-causalTrue
CausalSoftmaxMask,8,"[[1, 12, 4, 256], null]","[""bfloat16"", null]","{""scale"": 0.25, ""causal"": false}","[[-3, 3], null]",case8-B1-H12-Sq4-Skv256-bfloat16-no-mask-causalFalse
CausalSoftmaxMask,9,"[[4, 8, 1, 512], null]","[""float32"", null]","{""scale"": 0.125, ""causal"": true}","[[-3, 3], null]",case9-B4-H8-Sq1-Skv512-float32-no-mask-causalTrue
CausalSoftmaxMask,10,"[[3, 4, 8, 48], [3, 1, 1, 48]]","[""float16"", ""float32""]","{""scale"": 0.0883883476, ""causal"": true}","[[-3, 3], [-4, 0]]",case10-B3-H4-Sq8-Skv48-float16-pad-additive-causalTrue
CausalSoftmaxMask,11,"[[2, 2, 16, 17], null]","[""bfloat16"", null]","{""scale"": 0.0625, ""causal"": true}","[[-3, 3], null]",case11-B2-H2-Sq16-Skv17-bfloat16-no-mask-causalTrue
CausalSoftmaxMask,12,"[[1, 1, 8, 31], null]","[""float32"", null]","{""scale"": 1.0, ""causal"": false}","[[-3, 3], null]",case12-B1-H1-Sq8-Skv31-float32-no-mask-causalFalse
CausalSoftmaxMask,13,"[[4, 16, 2, 32], null]","[""float16"", null]","{""scale"": 0.5, ""causal"": true}","[[-3, 3], null]",case13-B4-H16-Sq2-Skv32-float16-no-mask-causalTrue
CausalSoftmaxMask,14,"[[3, 12, 64, 64], [1, 1, 64, 64]]","[""bfloat16"", ""float32""]","{""scale"": 0.25, ""causal"": true}","[[-3, 3], [-2, 0]]",case14-B3-H12-Sq64-Skv64-bfloat16-full-additive-causalTrue
CausalSoftmaxMask,15,"[[2, 8, 32, 96], [2, 1, 1, 96]]","[""float32"", ""float32""]","{""scale"": 0.125, ""causal"": true}","[[-3, 3], [-4, 0]]",case15-B2-H8-Sq32-Skv96-float32-pad-additive-causalTrue
CausalSoftmaxMask,16,"[[1, 4, 16, 128], null]","[""float16"", null]","{""scale"": 0.0883883476, ""causal"": false}","[[-3, 3], null]",case16-B1-H4-Sq16-Skv128-float16-no-mask-causalFalse
CausalSoftmaxMask,17,"[[4, 2, 4, 192], null]","[""bfloat16"", null]","{""scale"": 0.0625, ""causal"": true}","[[-3, 3], null]",case17-B4-H2-Sq4-Skv192-bfloat16-no-mask-causalTrue
CausalSoftmaxMask,18,"[[3, 1, 1, 256], null]","[""float32"", null]","{""scale"": 1.0, ""causal"": true}","[[-3, 3], null]",case18-B3-H1-Sq1-Skv256-float32-no-mask-causalTrue
CausalSoftmaxMask,19,"[[2, 16, 48, 512], null]","[""float16"", null]","{""scale"": 0.5, ""causal"": true}","[[-3, 3], null]",case19-B2-H16-Sq48-Skv512-float16-no-mask-causalTrue
