operator,case_id,input_shape,dtype,attrs,value_range,note
CtcGreedyDecode,1,"[[1, 8, 8], [1]]","['float16', 'int64']","{'blank_id': 1, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 8]]",float16-B1-T8-V8-blank1-mergeTrue
CtcGreedyDecode,2,"[[1, 8, 8], [1]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 8]]",bfloat16-B1-T8-V8-blank0-mergeFalse
CtcGreedyDecode,3,"[[1, 8, 8], [1]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 8]]",float32-B1-T8-V8-blank0-mergeTrue
CtcGreedyDecode,4,"[[2, 8, 8], [2]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 8]]",float16-B2-T8-V8-blank0-mergeFalse
CtcGreedyDecode,5,"[[2, 8, 8], [2]]","['bfloat16', 'int32']","{'blank_id': 5, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 8]]",bfloat16-B2-T8-V8-blank5-mergeTrue
CtcGreedyDecode,6,"[[2, 16, 8], [2]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 16]]",float32-B2-T16-V8-blank0-mergeFalse
CtcGreedyDecode,7,"[[4, 16, 8], [4]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 16]]",float16-B4-T16-V8-blank0-mergeTrue
CtcGreedyDecode,8,"[[4, 16, 16], [4]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 16]]",bfloat16-B4-T16-V16-blank0-mergeFalse
CtcGreedyDecode,9,"[[4, 16, 16], [4]]","['float32', 'int32']","{'blank_id': 9, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 16]]",float32-B4-T16-V16-blank9-mergeTrue
CtcGreedyDecode,10,"[[8, 16, 16], [8]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 16]]",float16-B8-T16-V16-blank0-mergeFalse
CtcGreedyDecode,11,"[[8, 32, 16], [8]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 32]]",bfloat16-B8-T32-V16-blank0-mergeTrue
CtcGreedyDecode,12,"[[8, 32, 16], [8]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 32]]",float32-B8-T32-V16-blank0-mergeFalse
CtcGreedyDecode,13,"[[16, 32, 16], [16]]","['float16', 'int64']","{'blank_id': 13, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 32]]",float16-B16-T32-V16-blank13-mergeTrue
CtcGreedyDecode,14,"[[16, 32, 16], [16]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 32]]",bfloat16-B16-T32-V16-blank0-mergeFalse
CtcGreedyDecode,15,"[[16, 32, 32], [16]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 32]]",float32-B16-T32-V32-blank0-mergeTrue
CtcGreedyDecode,16,"[[1, 64, 32], [1]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 64]]",float16-B1-T64-V32-blank0-mergeFalse
CtcGreedyDecode,17,"[[1, 64, 32], [1]]","['bfloat16', 'int32']","{'blank_id': 17, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 64]]",bfloat16-B1-T64-V32-blank17-mergeTrue
CtcGreedyDecode,18,"[[1, 64, 32], [1]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 64]]",float32-B1-T64-V32-blank0-mergeFalse
CtcGreedyDecode,19,"[[2, 64, 32], [2]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 64]]",float16-B2-T64-V32-blank0-mergeTrue
CtcGreedyDecode,20,"[[2, 64, 32], [2]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 64]]",bfloat16-B2-T64-V32-blank0-mergeFalse
CtcGreedyDecode,21,"[[2, 128, 32], [2]]","['float32', 'int32']","{'blank_id': 21, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 128]]",float32-B2-T128-V32-blank21-mergeTrue
CtcGreedyDecode,22,"[[4, 128, 64], [4]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 128]]",float16-B4-T128-V64-blank0-mergeFalse
CtcGreedyDecode,23,"[[4, 128, 64], [4]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 128]]",bfloat16-B4-T128-V64-blank0-mergeTrue
CtcGreedyDecode,24,"[[4, 128, 64], [4]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 128]]",float32-B4-T128-V64-blank0-mergeFalse
CtcGreedyDecode,25,"[[8, 128, 64], [8]]","['float16', 'int64']","{'blank_id': 25, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 128]]",float16-B8-T128-V64-blank25-mergeTrue
CtcGreedyDecode,26,"[[8, 256, 64], [8]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 256]]",bfloat16-B8-T256-V64-blank0-mergeFalse
CtcGreedyDecode,27,"[[8, 256, 64], [8]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 256]]",float32-B8-T256-V64-blank0-mergeTrue
CtcGreedyDecode,28,"[[16, 256, 64], [16]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 256]]",float16-B16-T256-V64-blank0-mergeFalse
CtcGreedyDecode,29,"[[16, 256, 128], [16]]","['bfloat16', 'int32']","{'blank_id': 29, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 256]]",bfloat16-B16-T256-V128-blank29-mergeTrue
CtcGreedyDecode,30,"[[16, 256, 128], [16]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 256]]",float32-B16-T256-V128-blank0-mergeFalse
CtcGreedyDecode,31,"[[1, 8, 128], [1]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 8]]",float16-B1-T8-V128-blank0-mergeTrue
CtcGreedyDecode,32,"[[1, 8, 128], [1]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 8]]",bfloat16-B1-T8-V128-blank0-mergeFalse
CtcGreedyDecode,33,"[[1, 8, 128], [1]]","['float32', 'int32']","{'blank_id': 33, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 8]]",float32-B1-T8-V128-blank33-mergeTrue
CtcGreedyDecode,34,"[[2, 8, 128], [2]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 8]]",float16-B2-T8-V128-blank0-mergeFalse
CtcGreedyDecode,35,"[[2, 8, 128], [2]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 8]]",bfloat16-B2-T8-V128-blank0-mergeTrue
CtcGreedyDecode,36,"[[2, 16, 256], [2]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 16]]",float32-B2-T16-V256-blank0-mergeFalse
CtcGreedyDecode,37,"[[4, 16, 256], [4]]","['float16', 'int64']","{'blank_id': 37, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 16]]",float16-B4-T16-V256-blank37-mergeTrue
CtcGreedyDecode,38,"[[4, 16, 256], [4]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 16]]",bfloat16-B4-T16-V256-blank0-mergeFalse
CtcGreedyDecode,39,"[[4, 16, 256], [4]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 16]]",float32-B4-T16-V256-blank0-mergeTrue
CtcGreedyDecode,40,"[[8, 16, 256], [8]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 16]]",float16-B8-T16-V256-blank0-mergeFalse
CtcGreedyDecode,41,"[[8, 32, 256], [8]]","['bfloat16', 'int32']","{'blank_id': 41, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 32]]",bfloat16-B8-T32-V256-blank41-mergeTrue
CtcGreedyDecode,42,"[[8, 32, 256], [8]]","['float32', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 32]]",float32-B8-T32-V256-blank0-mergeFalse
CtcGreedyDecode,43,"[[16, 32, 512], [16]]","['float16', 'int64']","{'blank_id': 0, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 32]]",float16-B16-T32-V512-blank0-mergeTrue
CtcGreedyDecode,44,"[[16, 32, 512], [16]]","['bfloat16', 'int32']","{'blank_id': 0, 'merge_repeated': False, 'pad_id': -1}","[[-2, 2], [1, 32]]",bfloat16-B16-T32-V512-blank0-mergeFalse
CtcGreedyDecode,45,"[[16, 32, 512], [16]]","['float32', 'int32']","{'blank_id': 45, 'merge_repeated': True, 'pad_id': -1}","[[-2, 2], [1, 32]]",float32-B16-T32-V512-blank45-mergeTrue
