operator,case_id,input_shape,dtype,attrs,value_range,note
MatmulReduceScatter,1,"[[16384, 640], [5120, 640]]","[""float16"", ""float16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 2, ""mc2_distributed"": true, ""seed"": 1}","[[-5, 5], [-5, 5]]",16384_640_5120_fp16_reducescatter_x1_gpt3_ID000
MatmulReduceScatter,2,"[[16384, 1792], [5120, 1792]]","[""float16"", ""float16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 3}","[[-5, 5], [-5, 5]]",16384_1792_5120_fp16_reducescatter_x1_gpt3_ID002
MatmulReduceScatter,3,"[[8192, 1536], [12288, 1536]]","[""float16"", ""float16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 2, ""mc2_distributed"": true, ""seed"": 5}","[[-5, 5], [-5, 5]]",8192_1536_12288_fp16_reducescatter_jyxc_llama2_ID004
MatmulReduceScatter,4,"[[8192, 3904], [12288, 3904]]","[""float16"", ""float16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 7}","[[-5, 5], [-5, 5]]",8192_3904_12288_fp16_reducescatter_jyxc_llama2_ID006
MatmulReduceScatter,5,"[[16384, 512], [4096, 512]]","[""float16"", ""float16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 9}","[[-5, 5], [-5, 5]]",16384_512_4096_fp16_reducescatter_Baichuan2_7B_MT_llama2_ID008
MatmulReduceScatter,6,"[[4096, 1536], [1536, 12288]]","[""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 2, ""mc2_distributed"": true, ""seed"": 37}","[[-5, 5], [-5, 5]]",4096_1536_12288_fp16_reducescatter_pangu_zhizi_230B_ID036
MatmulReduceScatter,7,"[[4096, 6144], [6144, 12288]]","[""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 2, ""mc2_distributed"": true, ""seed"": 38}","[[-5, 5], [-5, 5]]",4096_6144_12288_fp16_reducescatter_pangu_zhizi_230B_ID037
MatmulReduceScatter,8,"[[4096, 2048], [2048, 4096]]","[""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 89}","[[-5.0, 5.0], [-20.0, 20.0]]",4096_2048_4096_fp16_Baidu_llama2_7B_reducescatter_ID001
MatmulReduceScatter,9,"[[4096, 5504], [5504, 4096]]","[""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 91}","[[-10.0, 10.0], [0.001, 0.01]]",4096_5504_4096_fp16_Baidu_llama2_7B_reducescatter_ID003
MatmulReduceScatter,10,"[[4096, 640], [640, 5120]]","[""float16"", ""float16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 93}","[[-100, 100], [0.001, 0.01]]",4096_640_5120_fp16_Baidu_llama2_13B_reducescatter_ID005
MatmulReduceScatter,11,"[[16384, 640], [5120, 640]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 2}","[[-5, 5], [-5, 5]]",16384_640_5120_bf16_reducescatter_x1_gpt3_ID001
MatmulReduceScatter,12,"[[16384, 1792], [5120, 1792]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 4}","[[-5, 5], [-5, 5]]",16384_1792_5120_bf16_reducescatter_x1_gpt3_ID003
MatmulReduceScatter,13,"[[8192, 1536], [12288, 1536]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 6}","[[-5, 5], [-5, 5]]",8192_1536_12288_bf16_reducescatter_jyxc_llama2_ID005
MatmulReduceScatter,14,"[[8192, 3904], [12288, 3904]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 8}","[[-5, 5], [-5, 5]]",8192_3904_12288_bf16_reducescatter_jyxc_llama2_ID007
MatmulReduceScatter,15,"[[16384, 512], [4096, 512]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": true, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 2, ""mc2_distributed"": true, ""seed"": 11}","[[-5, 5], [-5, 5]]",16384_512_4096_bf16_reducescatter_Baichuan2_7B_MT_llama2_ID010
MatmulReduceScatter,16,"[[4096, 1536], [1536, 12288]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 39}","[[-5, 5], [-5, 5]]",4096_1536_12288_bf16_reducescatter_pangu_zhizi_230B_ID038
MatmulReduceScatter,17,"[[4096, 6144], [6144, 12288]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 40}","[[-5, 5], [-5, 5]]",4096_6144_12288_bf16_reducescatter_pangu_zhizi_230B_ID039
MatmulReduceScatter,18,"[[4096, 2048], [2048, 4096]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 90}","[[0.001, 0.01], [-100, 100]]",4096_2048_4096_bf16_Baidu_llama2_7B_reducescatter_ID002
MatmulReduceScatter,19,"[[4096, 5504], [5504, 4096]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 1, ""mc2_distributed"": true, ""seed"": 92}","[[-10.0, 10.0], [-100, 100]]",4096_5504_4096_bf16_Baidu_llama2_7B_reducescatter_ID004
MatmulReduceScatter,20,"[[4096, 640], [640, 5120]]","[""bfloat16"", ""bfloat16""]","{""is_trans_b"": false, ""is_bias"": false, ""world_size"": 8, ""reduce_op"": ""sum"", ""graph_type"": 2, ""mc2_distributed"": true, ""seed"": 94}","[[-3.0, 3.0], [-20.0, 20.0]]",4096_640_5120_bf16_Baidu_llama2_13B_reducescatter_ID006
