operator,case_id,input_shape,dtype,attrs,value_range,note
TopKTopPSampleV2,1,"[[1, 32000], [1], [1], [1, 32000], [1]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [0.9, 0.9], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-1x32000-1-1-1x32000-1
TopKTopPSampleV2,2,"[[1, 32000], [1], [1], [1, 32000], [1]]","[""bfloat16"", ""int32"", ""bfloat16"", ""float32"", ""bfloat16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [0.9, 0.9], [0, 1], [-1, 1]]",S-bfloat16-int32-bfloat16-float32-bfloat16-1x32000-1-1-1x32000-1
TopKTopPSampleV2,3,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [0.9, 0.9], [0, 1], [-1, 1]]",S-float32-int32-float32-float32-float32-2x4096-2-2-2x4096-2
TopKTopPSampleV2,4,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [1.0, 1.0], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,5,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [2000, 2000], [0.0, 0.0], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,6,"[[1, 32], [1], [1], [1, 32], [1]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [0.9, 0.9], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-1x32-1-1-1x32-1
TopKTopPSampleV2,7,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [2000, 2000], [0.5, 0.5], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,8,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [2000, 2000], [1.0, 1.0], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,9,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [2000, 2000], [1.0, 1.0], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,10,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [1.0, 1.0], [0, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,11,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [0.9, 0.9], [0, 1], [1.0, 1.0]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,12,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [1.0, 1.0], [0, 1], [0.1, 0.1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,13,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [2000, 2000], [0.5, 0.5], [0, 1], [0.1, 0.1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,14,"[[2, 32000], [2], [2], [2, 32000], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [0.9, 0.9], [-1, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x32000-2-2-2x32000-2
TopKTopPSampleV2,15,"[[2, 4096], [2], [2], [2, 4096], [2]]","[""float16"", ""int32"", ""float16"", ""float32"", ""float16""]","{""eps"": 1e-08, ""is_need_logits"": true, ""top_k_guess"": 32, ""ks_max"": 1024, ""input_is_logits"": true}","[[0, 1000], [50, 50], [1.0, 1.0], [-1, 1], [-1, 1]]",S-float16-int32-float16-float32-float16-2x4096-2-2-2x4096-2
TopKTopPSampleV2,16,"[[140, 153600], [140], [140], [140, 153600], [140]]","[""bfloat16"", ""int32"", ""bfloat16"", ""float32"", ""bfloat16""]","{""eps"": 1e-08, ""is_need_logits"": false, ""top_k_guess"": 24, ""ks_max"": 1024, ""input_is_logits"": false, ""is_need_sample_result"": false}","[[0, 1000], [-1000, 1000], [-100, 100], [-1, 1], [-1, -0.1]]",M-bfloat16-int32-bfloat16-float32-bfloat16-140x153600-140-140-140x153600-140
