operator,case_id,input_shape,dtype,attrs,value_range,note
BboxDecodeAndFilter,1,"[[32, 4], [32, 4], [32]]","[""float16"", ""float16"", ""float16""]","{""score_threshold"": 0.05, ""max_shape_h"": 512.0, ""max_shape_w"": 1024.0}","[[0, 512.0], [-0.5, 0.5], [0, 1]]",case1-N32-float16-thr0.05-clip512.0x1024.0
BboxDecodeAndFilter,2,"[[64, 4], [64, 4], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""score_threshold"": 0.1, ""max_shape_h"": 1024.0, ""max_shape_w"": 2048.0}","[[0, 1024.0], [-0.5, 0.5], [0, 1]]",case2-N64-bfloat16-thr0.1-clip1024.0x2048.0
BboxDecodeAndFilter,3,"[[128, 4], [128, 4], [128]]","[""float32"", ""float32"", ""float32""]","{""score_threshold"": 0.25, ""max_shape_h"": 2048.0, ""max_shape_w"": 256.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case3-N128-float32-thr0.25-clip2048.0x256.0
BboxDecodeAndFilter,4,"[[256, 4], [256, 4], [256]]","[""float16"", ""float16"", ""float16""]","{""score_threshold"": 0.5, ""max_shape_h"": 256.0, ""max_shape_w"": 640.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case4-N256-float16-thr0.5-clip256.0x640.0
BboxDecodeAndFilter,5,"[[512, 4], [512, 4], [512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""score_threshold"": 0.01, ""max_shape_h"": 512.0, ""max_shape_w"": 1024.0}","[[0, 512.0], [-0.5, 0.5], [0, 1]]",case5-N512-bfloat16-thr0.01-clip512.0x1024.0
BboxDecodeAndFilter,6,"[[16, 4], [16, 4], [16]]","[""float32"", ""float32"", ""float32""]","{""score_threshold"": 0.05, ""max_shape_h"": 1024.0, ""max_shape_w"": 2048.0}","[[0, 1024.0], [-0.5, 0.5], [0, 1]]",case6-N16-float32-thr0.05-clip1024.0x2048.0
BboxDecodeAndFilter,7,"[[32, 4], [32, 4], [32]]","[""float16"", ""float16"", ""float16""]","{""score_threshold"": 0.1, ""max_shape_h"": 2048.0, ""max_shape_w"": 256.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case7-N32-float16-thr0.1-clip2048.0x256.0
BboxDecodeAndFilter,8,"[[64, 4], [64, 4], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""score_threshold"": 0.25, ""max_shape_h"": 256.0, ""max_shape_w"": 640.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case8-N64-bfloat16-thr0.25-clip256.0x640.0
BboxDecodeAndFilter,9,"[[128, 4], [128, 4], [128]]","[""float32"", ""float32"", ""float32""]","{""score_threshold"": 0.5, ""max_shape_h"": 512.0, ""max_shape_w"": 1024.0}","[[0, 512.0], [-0.5, 0.5], [0, 1]]",case9-N128-float32-thr0.5-clip512.0x1024.0
BboxDecodeAndFilter,10,"[[256, 4], [256, 4], [256]]","[""float16"", ""float16"", ""float16""]","{""score_threshold"": 0.01, ""max_shape_h"": 1024.0, ""max_shape_w"": 2048.0}","[[0, 1024.0], [-0.5, 0.5], [0, 1]]",case10-N256-float16-thr0.01-clip1024.0x2048.0
BboxDecodeAndFilter,11,"[[512, 4], [512, 4], [512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""score_threshold"": 0.05, ""max_shape_h"": 2048.0, ""max_shape_w"": 256.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case11-N512-bfloat16-thr0.05-clip2048.0x256.0
BboxDecodeAndFilter,12,"[[16, 4], [16, 4], [16]]","[""float32"", ""float32"", ""float32""]","{""score_threshold"": 0.1, ""max_shape_h"": 256.0, ""max_shape_w"": 640.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case12-N16-float32-thr0.1-clip256.0x640.0
BboxDecodeAndFilter,13,"[[32, 4], [32, 4], [32]]","[""float16"", ""float16"", ""float16""]","{""score_threshold"": 0.25, ""max_shape_h"": 512.0, ""max_shape_w"": 1024.0}","[[0, 512.0], [-0.5, 0.5], [0, 1]]",case13-N32-float16-thr0.25-clip512.0x1024.0
BboxDecodeAndFilter,14,"[[64, 4], [64, 4], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""score_threshold"": 0.5, ""max_shape_h"": 1024.0, ""max_shape_w"": 2048.0}","[[0, 1024.0], [-0.5, 0.5], [0, 1]]",case14-N64-bfloat16-thr0.5-clip1024.0x2048.0
BboxDecodeAndFilter,15,"[[128, 4], [128, 4], [128]]","[""float32"", ""float32"", ""float32""]","{""score_threshold"": 0.01, ""max_shape_h"": 2048.0, ""max_shape_w"": 256.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case15-N128-float32-thr0.01-clip2048.0x256.0
BboxDecodeAndFilter,16,"[[256, 4], [256, 4], [256]]","[""float16"", ""float16"", ""float16""]","{""score_threshold"": 0.05, ""max_shape_h"": 256.0, ""max_shape_w"": 640.0}","[[0, 256.0], [-0.5, 0.5], [0, 1]]",case16-N256-float16-thr0.05-clip256.0x640.0
