operator,case_id,input_shape,dtype,attrs,value_range,note
RotaryEmbeddingDecode,1,"[[2, 1, 12, 256], [2, 1, 2, 256], [1024, 128], [1024, 128], [2, 1]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 1023]]",case1-B2-S1-Hq12-Hk2-D256-R256-float16-tablefloat16-interFalse
RotaryEmbeddingDecode,2,"[[3, 1, 2, 192], [3, 1, 4, 192], [512, 96], [512, 96], [3, 1]]","[""bfloat16"", ""bfloat16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 511]]",case2-B3-S1-Hq2-Hk4-D192-R192-bfloat16-tablefloat16-interTrue
RotaryEmbeddingDecode,3,"[[4, 1, 16, 160], [4, 1, 8, 160], [257, 40], [257, 40], [4, 1]]","[""float32"", ""float32"", ""float16"", ""float16"", ""int32""]","{""rotary_dim"": 80, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 256]]",case3-B4-S1-Hq16-Hk8-D160-R80-float32-tablefloat16-interFalse
RotaryEmbeddingDecode,4,"[[1, 1, 4, 128], [1, 1, 1, 128], [128, 64], [128, 64], [1, 1]]","[""float16"", ""float16"", ""float32"", ""float32"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 127]]",case4-B1-S1-Hq4-Hk1-D128-R128-float16-tablefloat32-interTrue
RotaryEmbeddingDecode,5,"[[2, 1, 32, 96], [2, 1, 2, 96], [64, 32], [64, 32], [2, 1]]","[""bfloat16"", ""bfloat16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": 64, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 63]]",case5-B2-S1-Hq32-Hk2-D96-R64-bfloat16-tablefloat16-interFalse
RotaryEmbeddingDecode,6,"[[3, 1, 8, 80], [3, 1, 4, 80], [1024, 20], [1024, 20], [3, 1]]","[""float32"", ""float32"", ""float16"", ""float16"", ""int32""]","{""rotary_dim"": 40, ""interleaved"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 1023]]",case6-B3-S1-Hq8-Hk4-D80-R40-float32-tablefloat16-interTrue
RotaryEmbeddingDecode,7,"[[4, 1, 1, 64], [4, 1, 8, 64], [512, 32], [512, 32], [4, 1]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 511]]",case7-B4-S1-Hq1-Hk8-D64-R64-float16-tablefloat16-interFalse
RotaryEmbeddingDecode,8,"[[1, 1, 12, 48], [1, 1, 1, 48], [257, 24], [257, 24], [1, 1]]","[""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 256]]",case8-B1-S1-Hq12-Hk1-D48-R48-bfloat16-tablefloat32-interTrue
RotaryEmbeddingDecode,9,"[[2, 1, 2, 32], [2, 1, 2, 32], [128, 8], [128, 8], [2, 1]]","[""float32"", ""float32"", ""float16"", ""float16"", ""int32""]","{""rotary_dim"": 16, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 127]]",case9-B2-S1-Hq2-Hk2-D32-R16-float32-tablefloat16-interFalse
RotaryEmbeddingDecode,10,"[[3, 1, 16, 256], [3, 1, 4, 256], [64, 32], [64, 32], [3, 1]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": 64, ""interleaved"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 63]]",case10-B3-S1-Hq16-Hk4-D256-R64-float16-tablefloat16-interTrue
RotaryEmbeddingDecode,11,"[[4, 1, 4, 192], [4, 1, 8, 192], [1024, 96], [1024, 96], [4, 1]]","[""bfloat16"", ""bfloat16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 1023]]",case11-B4-S1-Hq4-Hk8-D192-R192-bfloat16-tablefloat16-interFalse
RotaryEmbeddingDecode,12,"[[1, 1, 32, 160], [1, 1, 1, 160], [512, 40], [512, 40], [1, 1]]","[""float32"", ""float32"", ""float32"", ""float32"", ""int32""]","{""rotary_dim"": 80, ""interleaved"": true}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 511]]",case12-B1-S1-Hq32-Hk1-D160-R80-float32-tablefloat32-interTrue
RotaryEmbeddingDecode,13,"[[2, 1, 8, 128], [2, 1, 2, 128], [257, 64], [257, 64], [2, 1]]","[""float16"", ""float16"", ""float16"", ""float16"", ""int64""]","{""rotary_dim"": -1, ""interleaved"": false}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1], [0, 256]]",case13-B2-S1-Hq8-Hk2-D128-R128-float16-tablefloat16-interFalse
