operator,case_id,input_shape,dtype,attrs,value_range,note
SlidingWindowAttentionDecode,1,"[[2, 2, 2, 64], [2, 32, 2, 64], [2, 32, 2, 64]]","[""float16"", ""float16"", ""float16""]","{""window_size"": 8, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case1-B2-Sq2-Skv32-W8-H2-D64-float16-causalTrue
SlidingWindowAttentionDecode,2,"[[1, 4, 4, 80], [1, 64, 4, 80], [1, 64, 4, 80]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""window_size"": 16, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case2-B1-Sq4-Skv64-W16-H4-D80-bfloat16-causalTrue
SlidingWindowAttentionDecode,3,"[[4, 8, 8, 128], [4, 96, 8, 128], [4, 96, 8, 128]]","[""float32"", ""float32"", ""float32""]","{""window_size"": 32, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case3-B4-Sq8-Skv96-W32-H8-D128-float32-causalTrue
SlidingWindowAttentionDecode,4,"[[1, 16, 1, 32], [1, 128, 1, 32], [1, 128, 1, 32]]","[""float16"", ""float16"", ""float16""]","{""window_size"": 64, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case4-B1-Sq16-Skv128-W64-H1-D32-float16-causalTrue
SlidingWindowAttentionDecode,5,"[[2, 1, 2, 64], [2, 192, 2, 64], [2, 192, 2, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""window_size"": 128, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case5-B2-Sq1-Skv192-W128-H2-D64-bfloat16-causalTrue
SlidingWindowAttentionDecode,6,"[[1, 2, 4, 80], [1, 256, 4, 80], [1, 256, 4, 80]]","[""float32"", ""float32"", ""float32""]","{""window_size"": 4, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case6-B1-Sq2-Skv256-W4-H4-D80-float32-causalTrue
SlidingWindowAttentionDecode,7,"[[4, 4, 8, 128], [4, 16, 8, 128], [4, 16, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""window_size"": 8, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case7-B4-Sq4-Skv16-W8-H8-D128-float16-causalTrue
SlidingWindowAttentionDecode,8,"[[1, 8, 1, 32], [1, 32, 1, 32], [1, 32, 1, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""window_size"": 16, ""causal"": false}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case8-B1-Sq8-Skv32-W16-H1-D32-bfloat16-causalFalse
SlidingWindowAttentionDecode,9,"[[2, 16, 2, 64], [2, 64, 2, 64], [2, 64, 2, 64]]","[""float32"", ""float32"", ""float32""]","{""window_size"": 32, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case9-B2-Sq16-Skv64-W32-H2-D64-float32-causalTrue
SlidingWindowAttentionDecode,10,"[[1, 1, 4, 80], [1, 96, 4, 80], [1, 96, 4, 80]]","[""float16"", ""float16"", ""float16""]","{""window_size"": 64, ""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case10-B1-Sq1-Skv96-W64-H4-D80-float16-causalTrue
