operator,case_id,input_shape,dtype,attrs,value_range,note
AllGatherMatmul,1,"[[2048, 5120], [3416, 5120], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": true, ""is_bias"": false, ""seed"": 1, ""weight_same"": 0, ""case_name"": ""16384_5120_3416_fp16_allgather_x1_gpt3_ID002"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",16384_5120_3416_fp16_allgather_x1_gpt3_ID002
AllGatherMatmul,2,"[[2048, 5120], [1708, 5120], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": true, ""is_bias"": false, ""seed"": 2, ""weight_same"": 0, ""case_name"": ""16384_5120_1708_fp16_allgather_x1_gpt3_ID004"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",16384_5120_1708_fp16_allgather_x1_gpt3_ID004
AllGatherMatmul,3,"[[2048, 5120], [5120, 640], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": false, ""is_bias"": false, ""seed"": 3, ""weight_same"": 0, ""case_name"": ""16384_5120_640_fp16_allgather_x1_gpt3_ID006"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",16384_5120_640_fp16_allgather_x1_gpt3_ID006
AllGatherMatmul,4,"[[1024, 12288], [1792, 12288], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": true, ""is_bias"": false, ""seed"": 4, ""weight_same"": 0, ""case_name"": ""8192_12288_1792_fp16_allgather_jyxc_llama2_ID008"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",8192_12288_1792_fp16_allgather_jyxc_llama2_ID008
AllGatherMatmul,5,"[[1024, 12288], [7808, 12288], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": true, ""is_bias"": false, ""seed"": 5, ""weight_same"": 0, ""case_name"": ""7808_12288_7808_fp16_allgather_jyxc_llama2_ID010"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",7808_12288_7808_fp16_allgather_jyxc_llama2_ID010
AllGatherMatmul,6,"[[1024, 12288], [12288, 8192], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": false, ""is_bias"": false, ""seed"": 6, ""weight_same"": 0, ""case_name"": ""7808_12288_8192_fp16_allgather_jyxc_llama2_ID012"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",7808_12288_8192_fp16_allgather_jyxc_llama2_ID012
AllGatherMatmul,7,"[[1024, 12288], [12288, 3904], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": false, ""is_bias"": false, ""seed"": 7, ""weight_same"": 0, ""case_name"": ""8192_12288_3904_fp16_allgather_jyxc_llama2_ID014"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",8192_12288_3904_fp16_allgather_jyxc_llama2_ID014
AllGatherMatmul,8,"[[1024, 12288], [12288, 1536], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": false, ""is_bias"": false, ""seed"": 8, ""weight_same"": 0, ""case_name"": ""8192_12288_1536_fp16_allgather_jyxc_llama2_ID016"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",8192_12288_1536_fp16_allgather_jyxc_llama2_ID016
AllGatherMatmul,9,"[[2048, 4096], [1536, 4096], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": true, ""is_bias"": false, ""seed"": 9, ""weight_same"": 0, ""case_name"": ""16384_4096_1536_fp16_allgather_Baichuan2_7B_MT_llama2_ID018"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",16384_4096_1536_fp16_allgather_Baichuan2_7B_MT_llama2_ID018
AllGatherMatmul,10,"[[2048, 4096], [2752, 4096], null]","[""float16"", ""float16"", ""float16""]","{""mc2_distributed"": true, ""world_size"": 8, ""is_trans_b"": true, ""is_bias"": false, ""seed"": 10, ""weight_same"": 0, ""case_name"": ""16384_4096_2752_fp16_allgather_Baichuan2_7B_MT_llama2_ID019"", ""source_sheet"": ""level0"", ""gather_output"": true, ""graph_type"": 0}","[[-5, 5], [-5, 5], null]",16384_4096_2752_fp16_allgather_Baichuan2_7B_MT_llama2_ID019
