operator,case_id,input_shape,dtype,attrs,value_range,note
MoeDistributeDispatchV2,1,"[[16, 7168], [16, 8]]","[""bfloat16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":168,""shared_expert_num"":1,""shared_expert_rank_num"":1,""quant_mode"":0,""graph_type"":1,""seed"":8,""activeMask_Dim"":0,""is_combine_x"":0,""comm_mode"":2,""is_elastic"":0,""zero_expert_num"":0,""copy_expert_num"":0,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID008"",""is_scale"":0,""is_continue"":1,""localmoe"":24,""rankNumPersharedExpert"":1,""is_fullcore"":1,""corenum"":24,""is_performance"":1,""is_variable_bs"":0,""share_broken_card_num"":0,""moe_broken_card_num"":0,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 167]]",source_tmp_id_8_16_7168_8_bfloat16_dispatch_v2_Test_dispatch_combine_16die_V2_ID008
MoeDistributeDispatchV2,2,"[[32, 7168], [32, 8]]","[""float16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":256,""shared_expert_num"":0,""shared_expert_rank_num"":0,""quant_mode"":0,""graph_type"":0,""seed"":674,""activeMask_Dim"":0,""is_combine_x"":1,""comm_mode"":0,""is_elastic"":0,""zero_expert_num"":0,""copy_expert_num"":0,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID009"",""is_scale"":0,""is_continue"":1,""localmoe"":32,""rankNumPersharedExpert"":0,""is_fullcore"":1,""corenum"":24,""is_performance"":1,""is_variable_bs"":0,""share_broken_card_num"":0,""moe_broken_card_num"":0,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 255]]",source_tmp_id_9_32_7168_8_float16_dispatch_v2_Test_dispatch_combine_16die_V2_ID009
MoeDistributeDispatchV2,3,"[[213, 5369], [213, 5]]","[""float16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":512,""shared_expert_num"":0,""shared_expert_rank_num"":0,""quant_mode"":0,""graph_type"":0,""seed"":156,""activeMask_Dim"":2,""is_combine_x"":1,""comm_mode"":2,""is_elastic"":1,""zero_expert_num"":196,""copy_expert_num"":296,""const_expert_num"":396,""case_name"":""Test_dispatch_combine_16die_V2_ID018"",""is_scale"":0,""is_continue"":0,""localmoe"":64,""rankNumPersharedExpert"":0,""is_fullcore"":1,""corenum"":24,""is_performance"":1,""is_variable_bs"":0,""share_broken_card_num"":0,""moe_broken_card_num"":5,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 511]]",source_tmp_id_18_213_5369_5_float16_dispatch_v2_Test_dispatch_combine_16die_V2_ID018
MoeDistributeDispatchV2,4,"[[24, 8192], [24, 8]]","[""float16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":224,""shared_expert_num"":1,""shared_expert_rank_num"":1,""quant_mode"":0,""graph_type"":0,""seed"":63,""activeMask_Dim"":0,""is_combine_x"":0,""comm_mode"":2,""is_elastic"":0,""zero_expert_num"":0,""copy_expert_num"":0,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID028"",""is_scale"":0,""is_continue"":1,""localmoe"":32,""rankNumPersharedExpert"":1,""is_fullcore"":1,""corenum"":24,""is_performance"":1,""is_variable_bs"":0,""share_broken_card_num"":0,""moe_broken_card_num"":0,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 223]]",source_tmp_id_28_24_8192_8_float16_dispatch_v2_Test_dispatch_combine_16die_V2_ID028
MoeDistributeDispatchV2,5,"[[14, 1265], [14, 8]]","[""bfloat16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":60,""shared_expert_num"":2,""shared_expert_rank_num"":2,""quant_mode"":0,""graph_type"":1,""seed"":10,""activeMask_Dim"":0,""is_combine_x"":0,""comm_mode"":2,""is_elastic"":1,""zero_expert_num"":200,""copy_expert_num"":0,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID038"",""is_scale"":0,""is_continue"":0,""localmoe"":10,""rankNumPersharedExpert"":1,""is_fullcore"":0,""corenum"":12,""is_performance"":1,""is_variable_bs"":1,""share_broken_card_num"":1,""moe_broken_card_num"":3,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 59]]",source_tmp_id_38_14_1265_8_bfloat16_dispatch_v2_Test_dispatch_combine_16die_V2_ID038
MoeDistributeDispatchV2,6,"[[32, 1026], [32, 10]]","[""float16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":126,""shared_expert_num"":1,""shared_expert_rank_num"":1,""quant_mode"":0,""graph_type"":1,""seed"":41,""activeMask_Dim"":2,""is_combine_x"":0,""comm_mode"":0,""is_elastic"":1,""zero_expert_num"":1202,""copy_expert_num"":0,""const_expert_num"":2107,""case_name"":""Test_dispatch_combine_16die_V2_ID039"",""is_scale"":0,""is_continue"":1,""localmoe"":18,""rankNumPersharedExpert"":1,""is_fullcore"":0,""corenum"":12,""is_performance"":0,""is_variable_bs"":0,""share_broken_card_num"":1,""moe_broken_card_num"":3,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 125]]",source_tmp_id_39_32_1026_10_float16_dispatch_v2_Test_dispatch_combine_16die_V2_ID039
MoeDistributeDispatchV2,7,"[[324, 5937], [324, 8]]","[""bfloat16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":128,""shared_expert_num"":3,""shared_expert_rank_num"":6,""quant_mode"":0,""graph_type"":1,""seed"":6,""activeMask_Dim"":2,""is_combine_x"":0,""comm_mode"":2,""is_elastic"":0,""zero_expert_num"":0,""copy_expert_num"":2274,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID041"",""is_scale"":0,""is_continue"":1,""localmoe"":64,""rankNumPersharedExpert"":2,""is_fullcore"":0,""corenum"":12,""is_performance"":0,""is_variable_bs"":0,""share_broken_card_num"":0,""moe_broken_card_num"":0,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 127]]",source_tmp_id_41_324_5937_8_bfloat16_dispatch_v2_Test_dispatch_combine_16die_V2_ID041
MoeDistributeDispatchV2,8,"[[1, 7168], [1, 8]]","[""float16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":192,""shared_expert_num"":2,""shared_expert_rank_num"":2,""quant_mode"":0,""graph_type"":0,""seed"":14,""activeMask_Dim"":0,""is_combine_x"":0,""comm_mode"":2,""is_elastic"":0,""zero_expert_num"":0,""copy_expert_num"":0,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID007"",""is_scale"":0,""is_continue"":1,""localmoe"":32,""rankNumPersharedExpert"":1,""is_fullcore"":1,""corenum"":24,""is_performance"":1,""is_variable_bs"":0,""share_broken_card_num"":0,""moe_broken_card_num"":0,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 191]]",source_tmp_id_7_1_7168_8_float16_dispatch_v2_Test_dispatch_combine_16die_V2_ID007
MoeDistributeDispatchV2,9,"[[58, 4658], [58, 9]]","[""float16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":80,""shared_expert_num"":3,""shared_expert_rank_num"":3,""quant_mode"":0,""graph_type"":0,""seed"":45,""activeMask_Dim"":0,""is_combine_x"":0,""comm_mode"":0,""is_elastic"":0,""zero_expert_num"":185,""copy_expert_num"":486,""const_expert_num"":968,""case_name"":""Test_dispatch_combine_16die_V2_ID024"",""is_scale"":0,""is_continue"":0,""localmoe"":16,""rankNumPersharedExpert"":1,""is_fullcore"":1,""corenum"":24,""is_performance"":0,""is_variable_bs"":1,""share_broken_card_num"":0,""moe_broken_card_num"":0,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 79]]",source_tmp_id_24_58_4658_9_float16_dispatch_v2_Test_dispatch_combine_16die_V2_ID024
MoeDistributeDispatchV2,10,"[[127, 8192], [127, 4]]","[""bfloat16"", ""int32""]","{""mc2_distributed"":true,""world_size"":8,""tp_world_size"":1,""moe_expert_num"":312,""shared_expert_num"":1,""shared_expert_rank_num"":2,""quant_mode"":0,""graph_type"":1,""seed"":4,""activeMask_Dim"":2,""is_combine_x"":0,""comm_mode"":0,""is_elastic"":1,""zero_expert_num"":0,""copy_expert_num"":0,""const_expert_num"":0,""case_name"":""Test_dispatch_combine_16die_V2_ID040"",""is_scale"":0,""is_continue"":0,""localmoe"":52,""rankNumPersharedExpert"":2,""is_fullcore"":0,""corenum"":12,""is_performance"":1,""is_variable_bs"":0,""share_broken_card_num"":1,""moe_broken_card_num"":2,""is_fullmesh_v2"":0,""is_aclgraph"":0}","[[-5, 5], [0, 311]]",source_tmp_id_40_127_8192_4_bfloat16_dispatch_v2_Test_dispatch_combine_16die_V2_ID040
