operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
WeightQuantBatchMatmul,1,"[[1048576, 512], [1048576, 512], [512]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",None,float16-536M-对齐-M=1M-K=N=512
WeightQuantBatchMatmul,2,"[[2097152, 1024], [2097152, 1024], [1024]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': False, 'transpose_weight': False}","[[-2, 2], [-2, 2], [-0.2, 0.2]]",None,bfloat16-2G-对齐-M=2M-K=N=1024
WeightQuantBatchMatmul,3,"[[4194304, 256], [4194304, 256], [256]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[-3, 3], [-3, 3], [-0.3, 0.3]]",None,float16-1G-对齐-M=4M-K=N=256
WeightQuantBatchMatmul,4,"[[8388608, 127], [8388608, 127], [127]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': True, 'transpose_weight': False}","[[-10, 10], [-10, 10], [-1, 1]]",None,bfloat16-1G-非对齐-transpose_x=true
WeightQuantBatchMatmul,5,"[[16777216, 61], [16777216, 61], [61]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': True}","[[-100, 100], [-100, 100], [-10, 10]]",None,float16-1G-非对齐-transpose_weight=true
WeightQuantBatchMatmul,6,"[[33554432, 31], [33554432, 31], [31]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': True, 'transpose_weight': True}","[[-1000, 1000], [-1000, 1000], [-100, 100]]",None,bfloat16-1G-非对齐-双transpose
WeightQuantBatchMatmul,7,"[[1047553, 511], [1047553, 511], [511]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",None,float16-500M-非对齐-微小值域
WeightQuantBatchMatmul,8,"[[2096131, 1021], [2096131, 1021], [1021]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': False, 'transpose_weight': False}","[[-1, 2], [-1, 2], [-0.1, 0.2]]",None,bfloat16-2G-质数非对齐-非对称
WeightQuantBatchMatmul,9,"[[4193281, 257], [4193281, 257], [257]]","['float16', 'float16', 'float16']","{'transpose_x': True, 'transpose_weight': True}","[[-5, 10], [-5, 10], [-0.5, 0.5]]",None,float16-1G-非对齐-双transpose
WeightQuantBatchMatmul,10,"[[503, 4097], [503, 4097], [4097]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': False, 'transpose_weight': False}","[[-50, 100], [-50, 100], [-5, 5]]",None,bfloat16-2M-质数非对齐-N=4097
WeightQuantBatchMatmul,11,"[[2097153, 513], [2097153, 513], [513]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[-65504, 65504], [-65504, 65504], [-65504, 65504]]",None,float16-1G-非对齐-float16边界值
WeightQuantBatchMatmul,12,"[[4001, 256], [4001, 256], [256]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': False, 'transpose_weight': False}","[[-88, 88], [-88, 88], [-88, 88]]",None,bfloat16-1M-质数非对齐-float32边界值
WeightQuantBatchMatmul,13,"[[1000003, 128], [1000003, 128], [128]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[['-inf', 'inf'], ['-inf', 'inf'], ['-inf', 'inf']]",None,float16-128M-质数非对齐-inf特殊值
WeightQuantBatchMatmul,14,"[[10007, 64], [10007, 64], [64]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': False, 'transpose_weight': False}","[['nan', 'nan'], ['nan', 'nan'], ['nan', 'nan']]",None,bfloat16-600K-质数非对齐-nan特殊值
WeightQuantBatchMatmul,15,"[[3001, 32], [3001, 32], [32]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[0, 0], [0, 0], [0, 0]]",None,float16-100K-质数非对齐-零值
WeightQuantBatchMatmul,16,"[[1048576, 511], [1048576, 511], [511]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[-0.5, 0.5], [-0.5, 0.5], [-0.05, 0.05]]",None,float16-500M-混合非对齐-N=511-微小值域
WeightQuantBatchMatmul,17,"[[2047, 1023], [2047, 1023], [1023]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': True, 'transpose_weight': False}","[[-1, 3], [-1, 3], [-0.1, 0.3]]",None,bfloat16-2M-非对齐-transpose_x-非对称
WeightQuantBatchMatmul,18,"[[4095, 511], [4095, 511], [511]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': True}","[[-1000, 1000], [-1000, 1000], [-100, 100]]",None,float16-2M-非对齐-transpose_weight-大值域
WeightQuantBatchMatmul,19,"[[2097152, 63], [2097152, 63], [63]]","['bfloat16', 'bfloat16', 'bfloat16']","{'transpose_x': True, 'transpose_weight': True}","[[-0.2, 0.2], [-0.2, 0.2], [-0.02, 0.02]]",None,bfloat16-128M-对齐-双transpose-N=63-微小值域
WeightQuantBatchMatmul,20,"[[7001, 127], [7001, 127], [127]]","['float16', 'float16', 'float16']","{'transpose_x': False, 'transpose_weight': False}","[[-3, 6], [-3, 6], [-0.3, 0.6]]",None,float16-800K-质数非对齐-hidden=127-非对称中值域
